1,1024,16,0.448388
2,1024,16,0.305528
3,1024,16,0.304716
4,1024,16,0.426885
1,2048,16,11.9777
2,2048,16,9.53105
3,2048,16,10.4115
1,1024,4,5.17272
4,2048,16,9.52147
2,1024,4,4.19458
3,1024,4,4.53992
4,1024,4,4.57018
1,2048,4,58.5909
1,4096,16,117.355
2,2048,4,46.245
3,2048,4,45.7719
2,4096,16,92.2329
4,2048,4,44.6414
3,4096,16,94.0279
4,4096,16,92.0867
1,4096,4,453.464
2,4096,4,350.311
1,8192,16,913.466
3,4096,4,358.392
1,8192,64,269.694
4,4096,4,352.563
2,8192,64,210.646
3,8192,64,218.062
2,8192,16,707.591
4,8192,64,222.279
3,8192,16,710.264
4,8192,16,712.435
1,16384,64,2124.39
1,8192,4,3572.62
2,16384,64,1750.73
3,16384,64,1767.82
2,8192,4,2796.84
