1,1024,1660524505,-1,4722121,4127597
1,1024,1616163175,-1,3876366,3043236
2,1024,2147880204,0,7355445,4441099
3,1024,1993737460,-1,4806081,3075357
4,1024,1492918298,-1,3635341,2805743
5,1024,2130984009,-1,4690452,2438480
1,2048,8849495370,0,24967520,22588972
2,2048,9120370385,0,20964191,17576177
3,2048,8731967635,0,21897237,20119335
4,2048,8585441260,0,25152623,18147484
5,2048,9700616759,0,26424847,17435335
1,1024,1824665805,-1,6127757,4523726
1,1024,1676134345,-1,4251263,3402741
2,1024,1972522904,-1,4299823,1754771
3,1024,1997698068,-1,3865652,2709470
4,1024,1600400793,-1,4288293,3464003
5,1024,2029047362,-1,4617095,2452069
1,2048,8777099727,0,22291579,18302418
2,2048,9514237335,0,22408770,17285212
1,2048,395844187178,0,911684391,861981887
3,2048,9247925419,0,26842572,24141553
4,2048,8439394263,0,24919739,19035565
2,2048,399731484616,0,904047140,853292434
5,2048,9800973971,0,25901565,21828775
3,2048,397462244291,0,909537046,861144581
1,2048,396925456957,0,912299207,862794288
2,2048,114937997961,0,259956688,244422148
3,2048,396595922192,0,877084776,828572061
1,4096,62753150385,0,182134199,125516138
1,2048,396671309890,0,910455041,860697152
2,2048,62949566395,0,141547621,132690401
3,2048,397588482321,0,905596178,857203624
1,2048,397131131585,0,907434683,857805546
2,2048,32736754158,0,73731441,68905368
2,4096,66992716292,0,135230868,116635827
3,2048,398381658233,0,895811606,847285215
1,2048,397426559364,0,903101917,853443268
2,2048,36586405201,0,84693319,79297233
3,2048,397904067903,0,879738065,830973511
1,2048,398550993558,0,909941213,860306521
3,4096,61438221816,0,147562129,120431457
2,2048,26207471139,0,58580322,54599218
3,2048,398207670839,0,898598947,849641984
1,2048,399761911543,0,907146663,857283635
2,2048,23562237631,0,54163595,50527546
3,2048,399261207670,0,890759784,841932963
4,4096,60637570292,0,132492020,106607841
